"filename", "language", "C++", "Ini", "Markdown", "JSON with Comments", "Pascal", "comment", "blank", "total"
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\BootLoaderSD_1284.pas", "Pascal", 0, 0, 0, 0, 131, 9, 30, 170
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\HX35_main.pas", "Pascal", 0, 0, 0, 0, 122, 91, 47, 260
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\MIDI_custom.pas", "Pascal", 0, 0, 0, 0, 261, 80, 16, 357
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\MIDI_hammond.pas", "Pascal", 0, 0, 0, 0, 267, 30, 18, 315
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\MIDI_ni.pas", "Pascal", 0, 0, 0, 0, 31, 17, 12, 60
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\MIDI_sempra.pas", "Pascal", 0, 0, 0, 0, 248, 92, 22, 362
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\adc_touch_interface.pas", "Pascal", 0, 0, 0, 0, 468, 144, 63, 675
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\apply_changes.pas", "Pascal", 0, 0, 0, 0, 1943, 305, 209, 2457
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\apply_changes_old.pas", "Pascal", 0, 0, 0, 0, 2383, 365, 189, 2937
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\const_def.pas", "Pascal", 0, 0, 0, 0, 2565, 286, 140, 2991
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\dataflash.pas", "Pascal", 0, 0, 0, 0, 350, 96, 49, 495
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\debug_midi_inc.pas", "Pascal", 0, 0, 0, 0, 514, 1, 2, 517
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\debug_sempra_inc.pas", "Pascal", 0, 0, 0, 0, 514, 1, 2, 517
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\display_toolbox.pas", "Pascal", 0, 0, 0, 0, 405, 91, 69, 565
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\edit_changes.pas", "Pascal", 0, 0, 0, 0, 864, 274, 190, 1328
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\eeprom_def.pas", "Pascal", 0, 0, 0, 0, 1017, 255, 170, 1442
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\fpga_hilevel.pas", "Pascal", 0, 0, 0, 0, 1186, 410, 184, 1780
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\fpga_hilevel_module.pas", "Pascal", 0, 0, 0, 0, 936, 282, 150, 1368
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\fpga_if.pas", "Pascal", 0, 0, 0, 0, 393, 82, 69, 544
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\main_tasks.pas", "Pascal", 0, 0, 0, 0, 280, 51, 37, 368
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\main_tasks_module.pas", "Pascal", 0, 0, 0, 0, 67, 34, 19, 120
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\menu_system.pas", "Pascal", 0, 0, 0, 0, 905, 147, 72, 1124
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\midi_com.pas", "Pascal", 0, 0, 0, 0, 299, 115, 54, 468
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\midi_sysex.pas", "Pascal", 0, 0, 0, 0, 730, 334, 93, 1157
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\nuts_and_bolts.pas", "Pascal", 0, 0, 0, 0, 499, 126, 79, 704
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\parser.pas", "Pascal", 0, 0, 0, 0, 1580, 238, 115, 1933
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\port_def.pas", "Pascal", 0, 0, 0, 0, 96, 34, 44, 174
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\preset_interface.pas", "Pascal", 0, 0, 0, 0, 282, 45, 32, 359
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\save_restore.pas", "Pascal", 0, 0, 0, 0, 443, 143, 65, 651
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\sd_card.pas", "Pascal", 0, 0, 0, 0, 286, 60, 35, 381
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\startup.pas", "Pascal", 0, 0, 0, 0, 349, 110, 81, 540
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\switch_interface.pas", "Pascal", 0, 0, 0, 0, 1098, 252, 121, 1471
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\var_def.pas", "Pascal", 0, 0, 0, 0, 197, 75, 69, 341
"e:\Dropbox\HOAX_35\HX3.5-Firmware\HX35_AVR.code-workspace", "JSON with Comments", 0, 0, 0, 49, 0, 0, 0, 49
"e:\Dropbox\HOAX_35\HX3.5-Firmware\README.md", "Markdown", 0, 0, 11, 0, 0, 0, 10, 21
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\FPGA_MIDI.h", "C++", 54, 0, 0, 0, 0, 13, 9, 76
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\FPGA_SPI.h", "C++", 271, 0, 0, 0, 0, 77, 54, 402
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\FPGA_hilevel.h", "C++", 255, 0, 0, 0, 0, 23, 38, 316
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\global_vars.h", "C++", 124, 0, 0, 0, 0, 33, 30, 187
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\menu_items.h", "C++", 326, 0, 0, 0, 0, 23, 17, 366
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\menu_system.h", "C++", 159, 0, 0, 0, 0, 31, 16, 206
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\MenuPanel\MenuPanel.cpp", "C++", 216, 0, 0, 0, 0, 104, 49, 369
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\MenuPanel\MenuPanel.h", "C++", 117, 0, 0, 0, 0, 26, 20, 163
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\MpxPots\MpxPots.h", "C++", 133, 0, 0, 0, 0, 40, 25, 198
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\Panel16\Panel16.cpp", "C++", 146, 0, 0, 0, 0, 58, 20, 224
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\Panel16\Panel16.h", "C++", 50, 0, 0, 0, 0, 28, 15, 93
"e:\Dropbox\HOAX_35\HX3.5-Firmware\platformio.ini", "Ini", 0, 43, 0, 0, 0, 12, 3, 58
"e:\Dropbox\HOAX_35\HX3.5-Firmware\src\main.cpp", "C++", 170, 0, 0, 0, 0, 87, 45, 302
"Total", "-", 2021, 43, 11, 49, 21709, 5230, 2898, 31961